# maxMSE nonA	runtime nonA	maxMSE A	runtime A
0.2366	 	15		0.048  		16
0.2610		23		0.01		16
0.0630		95		0.005		22
0.0587		798		0.001		443
0.0109		7858		0.0008		836
0.0109		7858		0.0007		3084

# maxMSE	runtime no a	runtime a	1/maxMSE
#1.2		5	   	5		0.83333
#0.1666		15		5		6
#0.076		111		5		13,157
#0.035		1111		5		28,57
#0.005		1111		20		200
#0.004		1111		31		250
#0.003		1111		62		333,333
#0.002		1111		131		500
