dataset,backend,vector,index,serial,parallel,absDiff,relDiff
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",29,-3.9923901366735421,-4.5592907412015578,0.56690060452801561,0.14199529232390024
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",30,-4.0251807012711689,-4.5375061159765711,0.51232541470540216,0.12728010311278887
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",31,-3.955211240451741,-4.5004042623727178,0.54519302192097685,0.13784169511479952
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",32,-3.9639289920840923,-4.559695759009351,0.59576676692525865,0.15029703309897732
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",33,-3.9844175735896892,-4.5130107397172008,0.52859316612751162,0.13266510258142575
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",34,-3.967675135555969,-4.5211123776807991,0.55343724212483014,0.13948653133550459
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",35,-4.0411188846791584,-4.5910607304891773,0.54994184581001893,0.13608652987047204
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",36,-4.0447729129953665,-4.5248138491813306,0.48004093618596411,0.11868180155272762
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",37,-3.9880526542804309,-4.5173561683214718,0.52930351404104092,0.13272229830589932
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",38,-3.9852787632837803,-4.6109059989111749,0.62562723562739464,0.15698456062629151
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",39,-3.9498015977668293,-4.4838585472197803,0.53405694945295101,0.13521108243890034
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",40,-3.9560433506632382,-4.5158783664513162,0.55983501578807804,0.14151387286851158
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",41,-3.9500891830879228,-4.511033225734252,0.56094404264632924,0.14200794378212486
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",42,-3.9788803109149722,-4.5405828774068473,0.56170256649187511,0.14117101360174053
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",43,-3.9702747870382198,-4.5793420528114046,0.60906726577318482,0.15340682910956452
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",44,-3.9329099699565848,-4.4555257915068296,0.52261582155024477,0.13288273200823203
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",45,-3.935328245137641,-4.5188133768585779,0.58348513172093686,0.14826847860578629
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",46,-3.9350057844607043,-4.4546313638436335,0.51962557938292919,0.13205204969073364
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",47,-3.9668968794256632,-4.4665640554724098,0.4996671760467466,0.12595920469681823
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",48,-3.9459126975013938,-4.4644678024073787,0.51855510490598489,0.13141575717940773
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",49,-3.945759080513509,-4.4338031192155869,0.48804403870207791,0.12368825078863226
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",50,-3.9090858667948072,-4.4725858264410245,0.56349995964621735,0.14415133840696373
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",51,-3.8954876812787149,-4.4570990940286439,0.56161141274992898,0.14416973141744785
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",52,-3.892926380950255,-4.3912259855533531,0.49829960460309808,0.12800129153263468
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",53,-3.9429881846767976,-4.4459652354099983,0.50297705073320076,0.12756240373427069
"/home/th/workspace/myhaseonpu/example/c_example/input/cylindrical","Host_Cpu_CpuSerial","dndtAse",54,-3.9050937187415218,-4.4207747778939739,0.5156810591524521,0.13205344001798719
